Time,Data:1
1469721982,0
1469721983,0
1469721983,0
1469721983,0
1469721983,0
1469721983,0
1469721983,0
1469721983,0
1469721983,8
1469721983,8
1469721983,8
1469721983,8
1469721983,8
1469721983,8
1469721983,8
1469721983,8
1469721983,8
1469721983,8
1469721983,8
1469721983,8
1469721983,8
1469721984,8
1469721984,8
1469721984,8
1469721984,8
1469721984,8
1469721984,8
1469721984,8
1469721984,8
1469721984,8
1469721984,8
1469721984,8
1469721984,8
1469721984,8
1469721984,8
1469721984,8
1469721984,8
1469721984,8
1469721984,8
1469721984,8
1469721984,8
1469721985,8
1469721985,8
1469721985,8
1469721985,8
1469721985,8
1469721985,8
1469721985,8
1469721985,7
1469721985,7
1469721985,7
1469721985,7
1469721985,7
1469721985,7
1469721985,7
1469721985,7
1469721985,7
1469721985,7
1469721985,7
1469721985,7
1469721985,7
1469721986,7
1469721986,7
1469721986,7
1469721986,7
1469721986,7
1469721986,7
1469721986,7
1469721986,7
1469721986,7
1469721986,7
1469721986,7
1469721986,7
1469721986,7
1469721986,7
1469721986,7
1469721986,7
1469721986,7
1469721986,7
1469721986,7
1469721986,7
1469721987,7
1469721987,7
1469721987,7
1469721987,7
1469721987,7
1469721987,7
1469721987,7
1469721987,18
1469721987,18
1469721987,18
1469721987,18
1469721987,18
1469721987,18
1469721987,18
1469721987,18
1469721987,18
1469721987,18
1469721987,18
1469721987,18
1469721987,18
1469721988,18
1469721988,18
1469721988,18
1469721988,18
1469721988,18
1469721988,18
1469721988,18
1469721988,18
1469721988,18
1469721988,18
1469721988,18
1469721988,18
1469721988,18
1469721988,18
1469721988,18
1469721988,18
1469721988,18
1469721988,18
1469721988,18
1469721988,18
1469721989,18
1469721989,18
1469721989,18
1469721989,18
1469721989,18
1469721989,18
1469721989,18
1469721989,27
1469721989,27
1469721989,27
1469721989,27
1469721989,27
1469721989,27
1469721989,27
1469721989,27
1469721989,27
1469721989,27
1469721989,27
1469721989,27
1469721989,27
1469721990,27
1469721990,27
1469721990,27
1469721990,27
1469721990,27
1469721990,27
1469721990,27
1469721990,27
1469721990,27
1469721990,27
1469721990,27
1469721990,27
1469721990,27
1469721990,27
1469721990,27
1469721990,27
1469721990,27
1469721990,27
1469721990,27
1469721990,27
1469721991,27
1469721991,27
1469721991,27
1469721991,27
1469721991,27
1469721991,27
1469721991,27
1469721991,21
1469721991,21
1469721991,21
1469721991,21
1469721991,21
1469721991,21
1469721991,21
1469721991,21
1469721991,21
1469721991,21
1469721991,21
1469721991,21
1469721991,21
1469721992,21
1469721992,21
1469721992,21
1469721992,21
1469721992,21
1469721992,21
1469721992,21
1469721992,21
1469721992,21
1469721992,21
1469721992,21
1469721992,21
1469721992,21
1469721992,21
1469721992,21
1469721992,21
1469721992,21
1469721992,21
1469721992,21
1469721992,21
1469721993,21
1469721993,21
1469721993,21
1469721993,21
1469721993,21
1469721993,21
1469721993,21
1469721993,11
1469721993,11
1469721993,11
1469721993,11
1469721993,11
1469721993,11
1469721993,11
1469721993,11
1469721993,11
1469721993,11
1469721993,11
1469721993,11
1469721993,11
1469721994,11
