Time,Data:1
1469721983,-12.20740379
1469721983,-12.48512223
1469721983,-12.67128513
1469721983,-12.85744804
1469721983,-12.8971221
1469721983,-12.8971221
1469721983,-12.8971221
1469721983,-12.8971221
1469721983,-12.95205542
1469721983,-12.95205542
1469721983,-12.95205542
1469721983,-12.95205542
1469721983,-12.95205542
1469721983,-12.8971221
1469721983,-12.85744804
1469721983,-12.76589251
1469721983,-12.7109592
1469721983,-12.57972961
1469721984,-12.48512223
1469721984,-12.29895932
1469721984,-12.244026
1469721984,-12.14941862
1469721984,-12.05786309
1469721984,-11.83507797
1469721984,-11.7404706
1469721984,-11.64891507
1469721984,-11.5909299
1469721984,-11.5909299
1469721984,-11.5909299
1469721984,-11.55430769
1469721984,-11.55430769
1469721984,-11.40476699
1469721984,-11.31321146
1469721984,-11.21860408
1469721984,-11.21860408
1469721984,-11.21860408
1469721984,-11.21860408
1469721984,-11.21860408
1469721985,-11.21860408
1469721985,-11.21860408
1469721985,-11.21860408
1469721985,-11.18198187
1469721985,-11.18198187
1469721985,-11.18198187
1469721985,-11.18198187
1469721985,-11.18198187
1469721985,-11.18198187
1469721985,-11.18198187
1469721985,-11.18198187
1469721985,-11.18198187
1469721985,-11.18198187
1469721985,-11.12704855
1469721985,-11.12704855
1469721985,-11.12704855
1469721985,-11.12704855
1469721985,-11.12704855
1469721985,-11.12704855
1469721985,-11.12704855
1469721986,-11.12704855
1469721986,-11.12704855
1469721986,-11.12704855
1469721986,-11.12704855
1469721986,-11.12704855
1469721986,-11.12704855
1469721986,-11.12704855
1469721986,-11.12704855
1469721986,-11.12704855
1469721986,-11.12704855
1469721986,-11.12704855
1469721986,-11.12704855
1469721986,-11.12704855
1469721986,-11.12704855
1469721986,-11.12704855
1469721986,-11.18198187
1469721986,-11.18198187
1469721986,-11.18198187
1469721986,-11.18198187
1469721986,-11.18198187
1469721987,-11.18198187
1469721987,-11.18198187
1469721987,-11.18198187
1469721987,-11.18198187
1469721987,-11.18198187
1469721987,-11.18198187
1469721987,-11.21860408
1469721987,-11.36814478
1469721987,-11.64891507
1469721987,-12.05786309
1469721987,-12.33558153
1469721987,-12.57972961
1469721987,-12.67128513
1469721987,-12.80251473
1469721987,-12.98867763
1469721987,-13.26944792
1469721987,-13.36100345
1469721987,-13.32438124
1469721987,-13.08328501
1469721987,-12.8971221
1469721988,-12.80251473
1469721988,-12.95205542
1469721988,-13.17484054
1469721988,-13.45561083
1469721988,-13.60209967
1469721988,-13.64177374
1469721988,-13.60209967
1469721988,-13.45561083
1469721988,-13.45561083
1469721988,-13.51054415
1469721988,-13.69670705
1469721988,-14.01409955
1469721988,-14.25519578
1469721988,-14.44135868
1469721988,-14.38642537
1469721988,-14.3467513
1469721988,-14.29181799
1469721988,-14.29181799
1469721988,-14.29181799
1469721988,-14.29181799
