Time,Data:1
1469721982,4.48140001
1469721982,4.461599986
1469721983,4.300999998
1469721983,4.292200004
1469721983,4.285599986
1469721983,4.15140001
1469721983,4.03040001
1469721983,4.025999998
1469721983,3.981999998
1469721983,3.75540001
1469721983,3.634400011
1469721983,3.662999998
1469721983,3.590400011
1469721983,3.458400011
1469721983,3.282400011
1469721983,3.251599986
1469721983,3.233999998
1469721983,3.185599986
1469721983,3.134999999
1469721983,3.084400011
1469721983,2.969999999
1469721983,2.897400011
1469721984,2.851200005
1469721984,2.749999999
1469721984,2.749999999
1469721984,2.703799993
1469721984,2.694999999
1469721984,2.606999999
1469721984,2.507999999
1469721984,2.492599987
1469721984,2.404599987
1469721984,2.393599987
1469721984,2.358400011
1469721984,2.281400011
1469721984,2.217599987
1469721984,2.195599987
1469721984,2.202200005
1469721984,2.153799993
1469721984,1.942599987
1469721984,1.777599987
1469721984,1.764400011
1469721984,1.786400011
1469721985,1.806200005
1469721985,1.757799993
1469721985,1.634599987
1469721985,1.632400011
1469721985,1.715999999
1469721985,1.696200005
1469721985,1.592799993
1469721985,1.612599987
1469721985,1.689599987
1469721985,1.733599987
1469721985,1.704999999
1469721985,1.647799993
1469721985,1.724799993
1469721985,1.755599987
1469721985,1.762200005
1469721985,1.713799993
1469721985,1.733599987
1469721985,1.819400011
1469721985,1.792999999
1469721985,1.762200005
1469721986,1.830400011
1469721986,1.856799993
1469721986,1.900799993
1469721986,1.924999999
1469721986,1.913999999
1469721986,1.960200005
1469721986,1.990999999
1469721986,1.997599987
1469721986,2.061400011
1469721986,2.133999999
1469721986,2.155999999
1469721986,2.160400011
1469721986,2.232999999
1469721986,2.325400011
1469721986,2.360599987
1469721986,2.415599987
1469721986,2.490400011
1469721986,2.549799993
1469721986,2.587200005
1469721986,2.666400011
1469721987,2.727999999
1469721987,2.853400011
1469721987,2.895200005
1469721987,2.983200005
1469721987,3.106400011
1469721987,3.174599986
1469721987,3.280200005
1469721987,3.383599986
1469721987,3.478200004
1469721987,3.568400011
1469721987,3.70040001
1469721987,3.803799992
1469721987,3.856599986
1469721987,4.032599986
1469721987,4.109599986
1469721987,4.164599986
1469721987,4.274599986
1469721987,4.344999998
1469721987,4.446200004
1469721987,4.60240001
1469721988,4.716799992
1469721988,4.780599986
1469721988,4.824599986
1469721988,4.883999998
1469721988,4.908200004
1469721988,5.084200004
1469721988,5.172200004
1469721988,5.235999998
1469721988,5.352599985
1469721988,5.376799991
1469721988,5.422999997
1469721988,5.499999997
1469721988,5.605599985
1469721988,5.72440001
1469721988,5.739799991
1469721988,5.774999997
1469721988,5.860799991
1469721988,5.867400009
1469721988,5.917999997
1469721988,6.027999997
1469721989,6.157799991
1469721989,6.155599985
1469721989,6.210599985
1469721989,6.267799991
1469721989,6.386599985
1469721989,6.445999997
1469721989,6.573600015
1469721989,6.573600015
1469721989,6.553799991
1469721989,6.670400009
1469721989,6.784799991
1469721989,6.879400009
1469721989,6.929999997
1469721989,7.004799991
1469721989,7.059799991
1469721989,7.130200003
1469721989,7.275400009
1469721989,7.330400009
1469721989,7.30179999
