Time,Data:1
1469735392,0.226599988
1469735392,0.378400012
1469735392,0.393799994
1469735392,0.336599988
1469735392,0.437799994
1469735392,0.514799994
1469735392,0.517
1469735392,0.585200006
1469735392,0.664400012
1469735392,0.732599987
1469735392,0.864599987
1469735392,1.025200006
1469735392,1.097799993
1469735392,1.069200006
1469735392,1.152799993
1469735392,1.335400012
1469735392,1.352999999
1469735392,1.476200005
1469735392,1.623599987
1469735392,1.713799993
1469735392,1.779799993
1469735393,1.863400011
1469735393,2.026200005
1469735393,2.111999999
1469735393,2.162599987
1469735393,2.243999999
1469735393,2.285799993
1469735393,2.356200005
1469735393,2.411200005
1469735393,2.455200005
1469735393,2.580599987
1469735393,2.666400011
1469735393,2.703799993
1469735393,2.851200005
1469735393,2.976599986
1469735393,2.967799993
1469735393,3.042599986
1469735393,3.130599986
1469735393,3.192200005
1469735393,3.266999998
1469735393,3.341799992
1469735394,3.423200005
1469735394,3.535400011
1469735394,3.535400011
1469735394,3.585999998
1469735394,3.772999998
1469735394,3.816999998
1469735394,3.869799992
1469735394,3.922599986
1469735394,4.006200004
1469735394,4.072200004
1469735394,4.15140001
1469735394,4.215200004
1469735394,4.197599986
1469735394,4.234999998
1469735394,4.44840001
1469735394,4.474799992
1469735394,4.628799992
1469735394,4.707999998
1469735394,4.784999998
1469735394,4.802599986
1469735395,4.859799992
1469735395,4.985200004
1469735395,5.11940001
1469735395,5.17440001
1469735395,5.323999998
1469735395,5.389999997
1469735395,5.466999997
1469735395,5.546200004
1469735395,5.649599985
1469735395,5.818999997
1469735395,5.950999997
1469735395,5.946599985
1469735395,6.175400009
1469735395,6.335999997
1469735395,6.351400009
1469735395,6.463599985
1469735395,6.630799991
1469735395,6.714400009
1469735395,6.830999997
1469735395,6.960799991
1469735396,7.149999997
1469735396,7.198400009
1469735396,7.319400009
1469735396,7.446999997
1469735396,7.530600015
1469735396,7.658200003
1469735396,7.893600015
1469735396,7.911200002
1469735396,8.032200002
1469735396,8.298400008
1469735396,8.340200002
1469735396,8.260999996
1469735396,8.463400008
1469735396,8.608600014
1469735396,8.62179999
1469735396,8.826400008
1469735396,8.91879999
1469735396,9.004600014
1469735396,9.10579999
1469735396,9.29279999
1469735397,9.36979999
1469735397,9.40279999
1469735397,9.490799989
1469735397,9.563400008
1469735397,9.651400008
1469735397,9.682200002
1469735397,9.739400008
1469735397,9.800999995
1469735397,9.899999995
1469735397,9.965999995
1469735397,10.05840001
1469735397,10.09579999
1469735397,10.153
1469735397,10.24979999
1469735397,10.27179999
1469735397,10.307
1469735397,10.26740001
1469735397,10.39940001
1469735397,10.39940001
1469735397,10.4632
1469735398,10.49179999
1469735398,10.483
1469735398,10.516
1469735398,10.5732
1469735398,10.604
1469735398,10.61279999
1469735398,10.63260001
1469735398,10.67660001
1469735398,10.76899999
1469735398,10.7382
1469735398,10.72060001
1469735398,10.80860001
1469735398,10.76899999
1469735398,10.77779999
1469735398,10.8042
1469735398,10.89440001
1469735398,11.12760001
1469735398,11.14740001
1469735398,11.06599999
1469735398,10.9912
1469735399,11.08579999
1469735399,11.20679999
1469735399,11.30360001
1469735399,11.27499999
1469735399,11.36299999
1469735399,11.56979999
1469735399,11.52579999
1469735399,11.52140001
1469735399,11.58079999
1469735399,11.58740001
1469735399,11.48840001
1469735399,11.41360001
1469735399,11.52799999
1469735399,11.5522
1469735399,11.57860001
1469735399,11.55660001
1469735399,11.5742
1469735399,11.58079999
1469735399,11.56979999
1469735399,11.64679999
1469735400,11.81399999
1469735400,11.77440001
1469735400,11.5412
1469735400,11.4312
1469735400,11.52579999
1469735400,11.53679999
1469735400,11.4642
1469735400,11.4422
1469735400,11.42460001
1469735400,11.44440001
1469735400,11.39160001
1469735400,11.2882
1469735400,11.2992
1469735400,11.3102
1469735400,11.17599999
1469735400,11.1452
1469735400,10.94279999
1469735400,10.91640001
1469735400,10.8922
1469735400,10.8922
1469735401,10.85699999
1469735401,10.80640001
1469735401,10.74479999
1469735401,10.72279999
1469735401,10.648
1469735401,10.61940001
1469735401,10.60179999
1469735401,10.5182
1469735401,10.3972
1469735401,10.28940001
1469735401,10.22779999
1469735401,10.14640001
1469735401,10.11779999
1469735401,10.0782
1469735401,9.950600014
1469735401,9.884600014
1469735401,9.888999995
1469735401,9.792200002
1469735401,9.545799989
1469735401,9.541400008
1469735402,9.503999996
1469735402,9.459999996
1469735402,9.343400008
1469735402,9.301600014
1469735402,9.10579999
1469735402,9.048600014
1469735402,8.960600014
1469735402,8.839600014
1469735402,8.69879999
1469735402,8.659200002
1469735402,8.645999996
1469735402,8.494200002
1469735402,8.348999996
1469735402,8.32479999
1469735402,8.25879999
1469735402,8.289600014
1469735402,7.974999996
1469735402,8.003600015
1469735402,7.759400009
1469735402,7.607600015
1469735403,7.57679999
1469735403,7.462400009
1469735403,7.218200003
1469735403,7.163200003
1469735403,7.112600015
1469735403,7.000400009
1469735403,6.806799991
1469735403,6.646200003
1469735403,6.637400009
1469735403,6.555999997
1469735403,6.353599985
1469735403,6.278799991
1469735403,6.124799991
1469735403,5.917999997
1469735403,5.887200003
1469735403,5.79040001
1469735403,5.612200003
1469735403,5.341599985
1469735403,5.304200004
1469735403,5.28440001
1469735404,5.035799992
1469735404,4.930200004
1469735404,4.769599986
1469735404,4.648599986
1469735404,4.501200004
1469735404,4.384599986
1469735404,4.29440001
1469735404,4.100799992
1469735404,3.82140001
1469735404,3.814799992
1469735404,3.704799992
1469735404,3.460599986
1469735404,3.260400011
1469735404,3.286799992
1469735404,3.068999999
1469735404,2.987599986
1469735404,2.807200005
1469735404,2.771999999
1469735404,2.763200005
1469735404,2.510200005
1469735405,2.369400011
1469735405,2.305599987
1469735405,2.237400011
1469735405,2.175799993
1469735405,1.933799993
1469735405,1.819400011
1469735405,1.691799993
1469735405,1.608200005
1469735405,1.535599987
1469735405,1.493799993
1469735405,1.311200005
1469735405,1.042799993
1469735405,0.794200006
1469735405,0.847
1469735405,0.816200006
1469735405,0.607200006
1469735405,0.429
1469735405,0.365200006
1469735405,0.261799994
1469735405,0.200200006
1469735406,0.107799994
1469735406,0.015400012
1469735406,0.015400012
1469735406,0.008799994
1469735406,0.017599988
1469735406,0
1469735406,0
1469735406,0
1469735406,0.002200006
1469735406,0
1469735406,0.019799994
1469735406,0
1469735406,0.006599988
1469735406,0.006599988
1469735406,0.013200006
1469735406,0.006599988
1469735406,0
1469735406,0
1469735406,0
1469735406,0
1469735407,0.002200006
1469735407,0
1469735407,0
1469735407,0
1469735407,0
1469735407,0.015400012
1469735407,0
1469735407,0.004400012
1469735407,0
1469735407,0
1469735407,0
1469735407,0
1469735407,0.002200006
1469735407,0.037400012
1469735407,0
1469735407,0
1469735407,0
1469735407,0.002200006
1469735407,0.006599988
1469735407,0
1469735408,0.004400012
1469735408,0.035200006
1469735408,0.026400012
1469735408,0.008799994
1469735408,0.024200006
1469735408,0.081400012
1469735408,0.055
1469735408,0.008799994
1469735408,0.105599988
1469735408,0.092400012
1469735408,0.074799994
1469735408,0.11
1469735408,0.145200006
1469735408,0.114400012
1469735408,0.160599988
1469735408,0.169400012
1469735408,0.204599988
1469735408,0.303599988
1469735408,0.363
1469735408,0.292599988
1469735409,0.299200006
1469735409,0.420200006
1469735409,0.433400012
1469735409,0.442200006
1469735409,0.510400012
1469735409,0.563200006
1469735409,0.565400012
1469735409,0.605
1469735409,0.675400012
1469735409,0.668799994
1469735409,0.642400012
1469735409,0.734799994
1469735409,0.822799994
1469735409,0.787599987
1469735409,0.88
1469735409,0.985599987
1469735409,1.045
1469735409,1.097799993
1469735409,1.201200006
1469735409,1.212200006
1469735410,1.242999999
1469735410,1.319999999
1469735410,1.396999999
1469735410,1.489400012
1469735410,1.515799993
1469735410,1.590599987
1469735410,1.711599987
1469735410,1.755599987
1469735410,1.861200005
1469735410,1.984400011
1469735410,2.081200005
1469735410,2.160400011
1469735410,2.250599987
1469735410,2.362799993
1469735410,2.474999999
1469735410,2.527799993
1469735410,2.675200005
1469735410,2.807200005
1469735410,2.888599986
1469735410,2.980999999
1469735411,3.097599986
1469735411,3.205400011
1469735411,3.361599986
1469735411,3.425400011
1469735411,3.568400011
1469735411,3.66740001
1469735411,3.770799992
1469735411,3.882999998
1469735411,4.010599986
1469735411,4.109599986
1469735411,4.254799992
1469735411,4.34940001
1469735411,4.479200004
1469735411,4.641999998
1469735411,4.729999998
1469735411,4.798200004
1469735411,4.88840001
1469735411,4.947799992
1469735411,4.749799992
1469735411,4.454999998
1469735412,4.44840001
1469735412,4.870799992
1469735412,5.392200004
1469735412,5.326200004
1469735412,5.301999998
1469735412,5.08640001
1469735412,4.969799992
1469735412,5.002799992
1469735412,5.057799992
1469735412,5.106200004
1469735412,5.059999998
1469735412,5.03140001
1469735412,4.97640001
1469735412,4.945599985
1469735412,4.927999998
1469735412,4.989599985
1469735412,5.04240001
1469735412,5.057799992
1469735412,5.084200004
1469735412,5.095200004
1469735413,5.143599985
1469735413,4.956599985
1469735413,4.817999998
1469735413,4.886200004
1469735413,4.952200004
1469735413,4.923599986
1469735413,4.901599986
1469735413,4.87740001
1469735413,4.727799992
1469735413,4.49240001
1469735413,4.63540001
1469735413,4.850999998
1469735413,4.795999998
1469735413,4.694799992
1469735413,4.63540001
1469735413,4.694799992
1469735413,4.63540001
1469735413,4.611200004
1469735413,4.562799992
1469735413,4.542999998
1469735414,4.589200004
1469735414,4.441799992
1469735414,4.443999998
1469735414,4.50340001
1469735414,4.432999998
1469735414,4.267999998
1469735414,4.380200004
1469735414,4.362599986
1469735414,4.309799992
1469735414,4.25040001
1469735414,4.221799992
1469735414,4.197599986
1469735414,4.287799992
1469735414,4.223999998
1469735414,4.25040001
1469735414,4.166799992
1469735414,4.186599986
1469735414,4.153599986
1469735414,4.177799992
1469735414,4.18440001
1469735415,4.17340001
1469735415,4.190999998
1469735415,4.18440001
1469735415,4.190999998
1469735415,4.131599986
1469735415,4.091999998
1469735415,4.076599986
1469735415,4.039200004
1469735415,4.06340001
1469735415,4.131599986
1469735415,4.078799992
1469735415,4.032599986
1469735415,3.992999998
1469735415,4.023799992
1469735415,4.04140001
1469735415,3.988599986
1469735415,3.992999998
1469735415,3.990799992
1469735415,3.97540001
1469735415,3.973200004
1469735416,3.988599986
1469735416,3.957799992
1469735416,3.995200004
1469735416,3.992999998
1469735416,3.995200004
1469735416,4.061200004
1469735416,3.946799992
1469735416,3.838999998
1469735416,3.924799992
1469735416,4.054599986
1469735416,3.937999998
1469735416,3.893999998
1469735416,3.940200004
1469735416,4.014999998
1469735416,3.966599986
1469735416,4.003999998
1469735416,3.99740001
1469735416,3.973200004
1469735416,3.970999998
1469735416,4.054599986
1469735417,4.050200004
1469735417,4.04140001
1469735417,4.07440001
1469735417,4.102999998
1469735417,4.087599986
1469735417,4.122799992
1469735417,4.14040001
1469735417,4.153599986
1469735417,4.20640001
1469735417,4.243799992
1469735417,4.296599986
1469735417,4.336200004
1469735417,4.364799992
1469735417,4.39340001
1469735417,4.432999998
1469735417,4.463799992
1469735417,4.439599986
1469735417,4.507799992
1469735417,4.60240001
1469735417,4.63540001
1469735418,4.630999998
1469735418,4.650799992
1469735418,4.727799992
1469735418,4.758599986
1469735418,4.813599986
1469735418,4.86640001
1469735418,4.879599986
1469735418,4.897200004
